FIPS,Admin2,Population,Death by 03/09/2023,deaths_by_pop
29177,Ray,23018,102,443.1314623
18181,White,24102,102,423.2013941
51840,Winchester,28078,102,363.2737374
27005,Becker,34423,102,296.3135113
51109,Louisa,37591,102,271.3415445
53075,Whitman,50104,102,203.5765608
36109,Tompkins,102180,102,99.82384028
26071,Iron,11066,101,912.7055847
48115,Dawson,12728,101,793.5260842
19085,Harrison,14049,101,718.9123781
5021,Clay,14551,101,694.1103704
13027,Brooks,15457,101,653.4256324
19171,Tama,16854,101,599.2642696
13011,Banks,19234,101,525.1117812
17145,Perry,20916,101,482.8839166
37091,Hertford,23677,101,426.5743126
18021,Clay,26225,101,385.128694
17107,Logan,28618,101,352.9247327
45053,Jasper,30073,101,335.849433
1057,Fayette,16302,100,613.4216661
45061,Lee,16828,100,594.2476824
21207,Russell,17923,100,557.9423088
22043,Grant,22389,100,446.6479075
37117,Martin,22440,100,445.6327986
54083,Randolph,28695,100,348.4927688
1113,Russell,57961,100,172.5298045
5049,Fulton,12477,99,793.4599663
20021,Cherokee,19939,99,496.5143688
47159,Smith,20157,99,491.1445156
26133,Osceola,23460,99,421.9948849
19167,Sioux,34855,99,284.0338545
6005,Amador,39752,99,249.0440733
8067,La Plata,56221,99,176.0907846
19109,Kossuth,14813,98,661.5810437
54103,Wetzel,15065,98,650.5144374
51077,Grayson,15550,98,630.2250804
42093,Montour,18230,98,537.5754251
22077,Pointe Coupee,21730,98,450.9894156
48007,Aransas,23510,98,416.8438962
41013,Crook,24404,98,401.5735125
32005,Douglas,48905,98,200.3885083
50021,Rutland,58191,98,168.4109227
37131,Northampton,19483,97,497.8699379
48253,Jones,20083,97,482.9955684
54043,Lincoln,20409,97,475.2805135
38093,Stutsman,20704,97,468.5085008
54041,Lewis,15907,96,603.5078896
13019,Berrien,19397,96,494.9218951
30053,Lincoln,19980,96,480.4804805
47129,Morgan,21403,96,448.5352521
48281,Lampasas,21428,96,448.011947
29083,Henry,21824,96,439.8826979
27021,Cass,29779,96,322.3748279
36121,Wyoming,39859,96,240.8489927
6093,Siskiyou,43539,96,220.4919727
37069,Franklin,69685,96,137.7627897
21135,Lewis,13275,95,715.6308851
5089,Marion,16694,95,569.0667306
48289,Leon,17404,95,545.8515284
5001,Arkansas,17486,95,543.2917763
29229,Wright,18289,95,519.4379135
45049,Hampton,19222,95,494.2253668
48163,Frio,20306,95,467.8420171
19123,Mahaska,22095,95,429.9615298
41061,Union,26835,95,354.0152786
37009,Ashe,27203,95,349.2261883
18175,Washington,28036,95,338.8500499
51033,Caroline,30725,95,309.194467
36099,Seneca,34016,95,279.2803387
55031,Douglas,43150,95,220.1622248
36107,Tioga,48203,95,197.0831691
48403,Sabine,10542,94,891.6714096
18159,Tipton,15148,94,620.5439662
17191,Wayne,16215,94,579.7101449
55137,Waushara,24443,94,384.568179
50003,Bennington,35470,94,265.0126868
48487,Wilbarger,12769,93,728.3264155
1027,Clay,13235,93,702.6822818
29065,Dent,15573,93,597.1874398
