,date,cc_data,,dates,I
sc_884,2021-08-17,55,,2021-08-13,5.730652705
sc_884,2021-08-18,69,,2021-08-14,6.50052042
sc_884,2021-08-19,89,,2021-08-15,7.250093231
sc_884,2021-08-20,58,,2021-08-16,7.948061989
sc_884,2021-08-21,78,,2021-08-17,8.612708236
sc_884,2021-08-22,79,,2021-08-18,9.245226151
sc_884,2021-08-23,107,,2021-08-19,9.812816114
sc_884,2021-08-24,117,,2021-08-20,10.34029339
sc_884,2021-08-25,63,,2021-08-21,10.87931116
sc_884,2021-08-26,73,,2021-08-22,11.48182509
sc_884,2021-08-27,137,,2021-08-23,12.18337307
sc_884,2021-08-28,41,,2021-08-24,12.99308617
sc_884,2021-08-29,26,,2021-08-25,13.89716333
sc_884,2021-08-30,36,,2021-08-26,14.86798288
sc_884,2021-08-31,15,,2021-08-27,15.87862021
sc_884,2021-09-01,20,,2021-08-28,16.91493141
sc_884,2021-09-02,18,,2021-08-29,17.93290155
sc_884,2021-09-03,24,,2021-08-30,18.93337536
sc_884,2021-09-04,23,,2021-08-31,19.96988294
sc_884,2021-09-05,20,,2021-09-01,21.10646348
sc_884,2021-09-06,27,,2021-09-02,22.39040161
sc_884,2021-09-07,70,,2021-09-03,23.83502138
sc_884,2021-09-08,148,,2021-09-04,25.41352143
sc_884,2021-09-09,592,,2021-09-05,27.07161339
sc_884,2021-09-10,230,,2021-09-06,28.75034124
sc_884,2021-09-11,41,,2021-09-07,30.42313232
sc_884,2021-09-12,388,,2021-09-08,32.15818438
sc_884,2021-09-13,84,,2021-09-09,34.08368776
sc_884,2021-09-14,40,,2021-09-10,36.22447592
sc_884,2021-09-15,95,,2021-09-11,38.52889554
sc_884,2021-09-16,63,,2021-09-12,40.91262383
sc_884,2021-09-17,126,,2021-09-13,43.28441659
sc_884,2021-09-18,34,,2021-09-14,45.55974189
sc_884,2021-09-19,256,,2021-09-15,47.67037348
sc_884,2021-09-20,36,,2021-09-16,49.57038671
sc_884,2021-09-21,45,,2021-09-17,51.24809664
sc_884,2021-09-22,36,,2021-09-18,52.7449246
sc_884,2021-09-23,190,,2021-09-19,54.12659824
sc_884,2021-09-24,69,,2021-09-20,55.33951759
sc_884,2021-09-25,74,,2021-09-21,56.34971885
sc_884,2021-09-26,28,,2021-09-22,57.17078329
sc_884,2021-09-27,77,,2021-09-23,57.84565603
sc_884,2021-09-28,45,,2021-09-24,58.43614937
sc_884,2021-09-29,103,,2021-09-25,59.01931858
sc_884,2021-09-30,42,,2021-09-26,59.68041204
