dates,R_49049,,R_264,,,R_29019,,R_45045,,R_ca354,,R_co116,,R_oh102,,R_wi203
28/01/2022,0.993389034,,0.537914932,,,1.107420919,,1.077860414,,0.634956503,,0.708395662,,1.14163946,,0.765760038
29/01/2022,0.983547892,,0.538093698,,,1.086299268,,1.08470709,,0.632527999,,0.716138565,,1.130405852,,0.75146497
30/01/2022,0.975324795,,0.546055801,,,1.065731602,,1.090725372,,0.634192494,,0.730693924,,1.120696182,,0.742444263
31/01/2022,0.969463867,,0.562078356,,,1.044850799,,1.095109283,,0.639355825,,0.751423787,,1.112822854,,0.737208182
01/02/2022,0.966276472,,0.584252371,,,1.023216953,,1.09626667,,0.646419787,,0.77590191,,1.106921367,,0.733589492
02/02/2022,0.965708077,,0.610796582,,,1.000657294,,1.093033164,,0.653491771,,0.800615194,,1.103028906,,0.72907117
03/02/2022,0.967363227,,0.638827695,,,0.977404315,,1.085586222,,0.65821969,,0.822567046,,1.101009012,,0.72168566
04/02/2022,0.970638155,,0.663167185,,,0.953757095,,1.075461074,,0.65872745,,0.839212427,,1.100643732,,0.711221532
05/02/2022,0.974868143,,0.678559622,,,0.929961517,,1.065003489,,0.654657787,,0.84891329,,1.10194516,,0.698605974
06/02/2022,0.979465395,,0.68320611,,,0.906187937,,1.056576811,,0.647806739,,0.851856743,,1.104897123,,0.685237339
07/02/2022,0.984085323,,0.680777314,,,0.882392317,,1.052172233,,0.641917262,,0.850357088,,1.109235709,,0.67245546
08/02/2022,0.98875182,,0.678215578,,,0.85821871,,1.053919663,,0.640968258,,0.84829978,,1.11442663,,0.661201171
09/02/2022,0.993586991,,0.678665714,,,0.833119974,,1.06308182,,0.647220943,,0.849598709,,1.119768539,,0.651867272
10/02/2022,0.998679762,,0.681580034,,,0.806877032,,1.079382088,,0.661587177,,0.856192842,,1.124541494,,0.644305417
11/02/2022,1.003986068,,0.68653898,,,0.780253123,,1.099785009,,0.682945219,,0.868847789,,1.128047302,,0.637943551
12/02/2022,1.009364105,,0.692702222,,,0.754638471,,1.116605517,,0.708300527,,0.887481575,,1.129456884,,0.632159294
13/02/2022,1.014610961,,0.697941539,,,0.731051014,,1.123331607,,0.734361088,,0.91077403,,1.128132892,,0.626646149
14/02/2022,1.019576293,,0.700137642,,,0.709845501,,1.118800149,,0.757653748,,0.936346913,,1.123883974,,0.621681861
15/02/2022,1.024236974,,0.699010092,,,0.690844138,,1.107339175,,0.775519899,,0.961740694,,1.117011056,,0.618255111
16/02/2022,1.028706203,,0.697001353,,,0.673649147,,1.096414007,,0.787457979,,0.985071226,,1.108216807,,0.617968118
17/02/2022,1.033178124,,0.698009457,,,0.657693611,,1.093610782,,0.795781859,,1.005485713,,1.098288971,,0.622640303
18/02/2022,1.037805586,,0.703671034,,,0.642217946,,1.105571627,,0.805110202,,1.023287538,,1.087807074,,0.633730869
19/02/2022,1.042549348,,0.713291282,,,0.626541053,,1.138996887,,0.82016645,,1.039681924,,1.077067679,,0.651385087
20/02/2022,1.047175871,,0.726427587,,,0.61080427,,1.196075363,,0.842555542,,1.056285248,,1.066146466,,0.673743784
21/02/2022,1.051294542,,0.742372795,,,0.595791841,,1.272146841,,0.87133192,,1.074381064,,1.055011536,,0.6971696
22/02/2022,1.054508746,,0.759405463,,,0.582424442,,1.356239363,,0.90351533,,1.093959405,,1.04363697,,0.717894248
23/02/2022,1.056619525,,0.775634047,,,0.571287044,,1.43440378,,0.935041043,,1.113677249,,1.032070255,,0.732654207
24/02/2022,1.057629475,,0.790385302,,,0.562078285,,1.49668373,,0.962641287,,1.131317083,,1.020584133,,0.738944188
25/02/2022,1.057755265,,0.804972651,,,0.553995759,,1.540472364,,0.984028769,,1.144503532,,1.009733965,,0.736114633
26/02/2022,1.057379141,,0.82175539,,,0.546614283,,1.569101173,,0.99828598,,1.151463481,,1.000145288,,0.726016098
27/02/2022,1.056951742,,0.841188978,,,0.540676771,,1.587944889,,1.00625363,,1.151610066,,0.992085261,,0.712799002
28/02/2022,1.056877669,,0.861637329,,,0.538328356,,1.600714684,,1.010358711,,1.145658332,,0.985339117,,0.701571172
01/03/2022,1.057383557,,0.881483857,,,0.542213928,,1.608407702,,1.013838281,,1.134705772,,0.979485967,,0.69573299
02/03/2022,1.058400987,,0.899094067,,,0.553433148,,1.610194191,,1.019304871,,1.119969815,,0.974078271,,0.696879532
03/03/2022,1.059662533,,0.912279344,,,0.571256188,,1.604217349,,1.027210873,,1.102772267,,0.968718645,,0.705739516
04/03/2022,1.060793802,,0.919454742,,,0.594113689,,1.589873792,,1.036733664,,1.084475208,,0.963123947,,0.721594717
05/03/2022,1.06145145,,0.920805482,,,0.619472232,,1.56904561,,1.046520441,,1.066332985,,0.957278745,,0.741983288
