county,county_population,covid_cases_per_100k
Glacier County,880192.0,9554.25
Glades County,883904.0,2606.55
Gladwin County,1628736.0,5548.29
Glascock County,190144.0,4274.7
Glasscock County,90176.0,2767.88
Glenn County,1817152.0,5187.93
Gloucester County,21054976.0,15081.92
Glynn County,5458688.0,5825.86
Gogebic County,894400.0,8844.4
Golden Valley County,165248.0,6485.21
Goliad County,490112.0,5588.92
Gonzales County,1333568.0,3666.57
Goochland County,1520192.0,8681.02
Goodhue County,2965760.0,6655.14
Gooding County,971456.0,7938.62
Gordon County,3709632.0,7867.08
Goshen County,845504.0,8538.36
Gosper County,127360.0,5577.86
Gove County,168704.0,7245.87
Grady County,5125255.0,11960.99
Grafton County,5752704.0,8056.85
Graham County,3184640.0,24416.329999999998
Grainger County,1492480.0,7512.81
Grand County,1631232.0,7256.61
Grand Forks County,4444864.0,8198.63
Grand Isle County,463040.0,5984.82
Grand Traverse County,5957632.0,5458.28
Granite County,216256.0,4853.43
Grant County,21190819.0,101860.27
Grant Parish,1432896.0,8142.39
Granville County,3868352.0,9413.82
Gratiot County,2605504.0,7059.52
Graves County,2385024.0,4977.73
Gray County,1783936.0,9050.11
Grays Harbor County,4803904.0,6152.29
Grayson County,11404096.0,23349.59
Greeley County,229632.0,9365.44
Green County,3065664.0,18417.61
Green Lake County,1210432.0,7814.74
Greenbrier County,2218368.0,12192.12
Greene County,50849664.0,94771.46
Greenlee County,607872.0,6738.28
Greensville County,725504.0,7392.34
Greenup County,2246272.0,11741.38
Greenville County,33506688.0,6999.43
Greenwood County,4914752.0,14506.27
Greer County,365568.0,6162.51
Gregg County,7932480.0,3645.96
Gregory County,267840.0,4324.85
Grenada County,1328512.0,4605.46
Griggs County,142784.0,6095.92
Grimes County,1848320.0,6578.94
Grundy County,5540032.0,28525.5
Guadalupe County,10953408.0,14083.91
Guam,8981489.0,9915.77
Guayama Muni,2525760.0,20777.94
Guayanilla Muni,1127872.0,23963.01
Guaynabo Muni,5358592.0,20226.21
Guernsey County,2488000.0,9041.81
Guilford County,34379136.0,8462.99
Gulf County,872896.0,5872.83
Gunnison County,1117568.0,3865.55
Gurabo Muni,3013952.0,17607.73
Guthrie County,684096.0,4406.43
Guánica Muni,984512.0,17506.36
Gwinnett County,59920000.0,5811.04
Haakon County,121536.0,4897.38
Habersham County,2855664.0,4125.51
Haines Borough,161920.0,11541.58
Hale County,3075648.0,14598.32
