dates,,R_gallax,,R_McMullen,,R_Robertson,,R_King,,R_SantaCruz,,R_Kauai
17/08/2020,228,1.012938121,,1.067292435,,1.16181242,,1.028095894,,1.0521486,,1.015508021
18/08/2020,229,1.012853989,,1.066464627,,1.161525789,,1.027886023,,1.051294348,,1.015015068
19/08/2020,230,1.012798402,,1.065665504,,1.161190348,,1.027693017,,1.050455768,,1.014533024
20/08/2020,231,1.01277417,,1.064895957,,1.160805748,,1.027516945,,1.049632556,,1.014064735
21/08/2020,232,1.012777682,,1.064156828,,1.160371855,,1.0273581,,1.048824675,,1.013613049
22/08/2020,233,1.0127967,,1.063448876,,1.159888742,,1.027217047,,1.048032354,,1.013180857
23/08/2020,234,1.012810206,,1.062772748,,1.159356606,,1.027094649,,1.04725609,,1.012771183
24/08/2020,235,1.012790177,,1.062128972,,1.158775715,,1.026992092,,1.046496667,,1.012387359
25/08/2020,236,1.012704971,,1.061517942,,1.158146416,,1.026910884,,1.045755236,,1.012033245
26/08/2020,237,1.012523667,,1.060939898,,1.157469168,,1.026852831,,1.045033328,,1.011713281
27/08/2020,238,1.012221194,,1.060394909,,1.15674461,,1.026819987,,1.044332839,,1.011432443
28/08/2020,239,1.011785541,,1.05988286,,1.155973637,,1.026814562,,1.043655992,,1.011196076
29/08/2020,240,1.011222747,,1.059403469,,1.155157425,,1.026838854,,1.04300527,,1.011009707
30/08/2020,241,1.010557219,,1.058956297,,1.154297441,,1.026895169,,1.04238335,,1.010878844
31/08/2020,242,1.009828959,,1.05854075,,1.153395422,,1.026985771,,1.041792998,,1.010808725
01/09/2020,243,1.009087282,,1.058156088,,1.152453333,,1.027112846,,1.041236896,,1.010804084
02/09/2020,244,1.008383063,,1.057801432,,1.151473326,,1.027278484,,1.040717484,,1.01086895
03/09/2020,245,1.007761713,,1.057475781,,1.150457668,,1.027484687,,1.040236845,,1.0110065
04/09/2020,246,1.007257823,,1.057178031,,1.149408704,,1.027733327,,1.039796674,,1.011218981
