Dates,JH_S,CDC_S,JH_CASE_S,JH,CDC,CDC_DEATHS,JH_DEATHS
155,103,5175.42,8197,3.913654935,3.7139456,1.204119983,2.012837225
156,30,5670.75,1507,3.178113252,3.753640501,1.380211242,1.477121255
157,90,8354.14,6526,3.814647069,3.921901749,1.973127854,1.954242509
158,68,6312.48,3344,3.524266269,3.800200015,0,1.832508913
159,70,3193.92,5502,3.740520586,3.504324034,1.643452676,1.84509804
160,109,7998.06,3888,3.589726256,3.902984658,1.146128036,2.037426498
161,91,4888.42,6069,3.783117137,3.689168512,1.278753601,1.959041392
162,270,6564.85,23994,4.380102655,3.817224807,2.056904851,2.431363764
163,69,5576.21,4857,3.686368103,3.746339121,2.204119983,1.838849091
164,95,6776.57,4100,3.612783857,3.831009929,1,1.977723605
165,210,4282.47,11628,4.065505023,3.631694329,3.408070286,2.322219295
166,235,10192.12,16411,4.215135045,4.008264528,1.643452676,2.371067862
167,39,3100.63,2309,3.363423933,3.491449945,1.591064607,1.591064607
168,67,4549.62,1770,3.247973266,3.657975124,2.431363764,1.826074803
169,47,6040.7,2770,3.442479769,3.781087268,1.431363764,1.672097858
170,54,7080.14,2051,3.31196566,3.850041845,1.322219295,1.73239376
171,126,9082.33,6776,3.830973397,3.958197278,3.047274867,2.100370545
172,0,6389.55,0,0,3.805470273,1.113943352,0
173,43,5871.57,3017,3.47957531,3.768754243,1.462397998,1.633468456
174,106,6118.07,5887,3.769894036,3.786614442,1.51851394,2.025305865
175,49,7131.04,2964,3.471878199,3.853152873,2.257678575,1.69019608
176,139,5684.23,10113,4.004880007,3.754671642,1.255272505,2.1430148
177,160,8355.45,4652,3.667639706,3.921969845,2.963315511,2.204119983
178,230,7029.02,20964,4.321474151,3.846894779,2.614897216,2.361727836
179,46,7404.44,2416,3.38309693,3.869492218,0,1.662757832
180,1322,5974.41,127945,5.107023319,3.776295023,1.643452676,3.121231455
181,107,5754,6456,3.809963522,3.759969858,3.412292509,2.029383778
182,395,6050.9,37142,4.569865286,3.781819976,2.012837225,2.596597096
183,49,7501.96,2852,3.455149521,3.875174744,2.888740961,1.69019608
184,53,9905.09,2562,3.408579125,3.995858426,1.792391689,1.72427587
185,587,4278.12,39338,4.594812276,3.631252962,1.556302501,2.768638101
186,84,8965.09,7125,3.852784869,3.952554654,3.23350376,1.924279286
187,123,1771.45,5714,3.756940236,3.248328899,1.812913357,2.089905111
188,110,7275.11,8565,3.932727367,3.861839564,2.389166084,2.041392685
189,80,6441.1,3702,3.568436414,3.808960042,3.511749711,1.903089987
190,0,4975.5,33605,4.5264039,3.696836731,1.826074803,0
191,204,4627.12,11292,4.052770869,3.665310763,2.340444115,2.309630167
192,67,9047.34,4340,3.63748973,3.956520911,2.941014244,1.826074803
193,709,10502.67,80947,4.908200758,4.02129972,1.716003344,2.850646235
194,340,5429.8,27120,4.433289685,3.734783833,3.429913698,2.531478917
195,33,8925.92,2274,3.35679046,3.95065299,2.761927838,1.51851394
196,118,5187.93,7596,3.880584956,3.714994108,2.056904851,2.071882007
197,2192,7671.26,402160,5.604398872,3.884866702,1.72427587,3.34084055
198,0,15152.7,143,2.155336037,4.180490025,4.515436681,0
199,99,9368.54,11553,4.062694773,3.971671915,2.587710965,1.995635195
200,487,8877.11,51967,4.715727646,3.948271601,2.564666064,2.687528961
201,140,9798.55,9650,3.984527313,3.991161813,1.041392685,2.146128036
202,22,6430,5346,3.728028954,3.808210973,2.173186268,1.342422681
