,date,cc_data,,dates,I
ca_354,2022-02-28,13,,2022-02-14,14.86817468
ca_354,2022-03-01,12,,2022-02-15,14.33487211
ca_354,2022-03-02,22,,2022-02-16,14.0097146
ca_354,2022-03-03,20,,2022-02-17,13.68673077
ca_354,2022-03-04,10,,2022-02-18,13.19427876
ca_354,2022-03-05,7,,2022-02-19,12.51116594
ca_354,2022-03-06,7,,2022-02-20,11.82457769
ca_354,2022-03-07,13,,2022-02-21,11.19945256
ca_354,2022-03-08,9,,2022-02-22,10.67312161
ca_354,2022-03-09,16,,2022-02-23,10.29450902
ca_354,2022-03-10,9,,2022-02-24,10.09723289
ca_354,2022-03-11,12,,2022-02-25,10.08265553
ca_354,2022-03-12,0,,2022-02-26,10.20895302
ca_354,2022-03-13,7,,2022-02-27,10.398748
ca_354,2022-03-14,7,,2022-02-28,10.56068616
ca_354,2022-03-15,17,,2022-03-01,10.62220043
ca_354,2022-03-16,11,,2022-03-02,10.58045776
ca_354,2022-03-17,21,,2022-03-03,10.52685196
ca_354,2022-03-18,8,,2022-03-04,10.4957122
ca_354,2022-03-19,13,,2022-03-05,10.49789834
ca_354,2022-03-20,9,,2022-03-06,10.54469599
ca_354,2022-03-21,16,,2022-03-07,10.64244333
ca_354,2022-03-22,12,,2022-03-08,10.78910985
ca_354,2022-03-23,11,,2022-03-09,10.97205875
ca_354,2022-03-24,8,,2022-03-10,11.16957173
ca_354,2022-03-25,12,,2022-03-11,11.35646102
ca_354,2022-03-26,13,,2022-03-12,11.51298672
ca_354,2022-03-27,10,,2022-03-13,11.63875463
ca_354,2022-03-28,11,,2022-03-14,11.75330327
ca_354,2022-03-29,10,,2022-03-15,11.84755865
ca_354,2022-03-30,20,,2022-03-16,11.92222185
ca_354,2022-03-31,8,,2022-03-17,11.99130808
ca_354,2022-04-01,17,,2022-03-18,12.07229866
ca_354,2022-04-02,9,,2022-03-19,12.17986817
ca_354,2022-04-03,21,,2022-03-20,12.32181786
ca_354,2022-04-04,15,,2022-03-21,12.49743973
ca_354,2022-04-05,17,,2022-03-22,12.69989671
ca_354,2022-04-06,11,,2022-03-23,12.91964026
ca_354,2022-04-07,15,,2022-03-24,13.14972169
ca_354,2022-04-08,14,,2022-03-25,13.36794265
ca_354,2022-04-09,11,,2022-03-26,13.46525638
ca_354,2022-04-10,11,,2022-03-27,13.42081242
ca_354,2022-04-11,23,,2022-03-28,13.30459058
ca_354,2022-04-12,22,,2022-03-29,13.21762765
ca_354,2022-04-13,15,,2022-03-30,13.25380128
ca_354,2022-04-14,16,,2022-03-31,13.47693365
ca_354,2022-04-15,26,,2022-04-01,13.90735206
ca_354,2022-04-16,15,,2022-04-02,14.52829008
ca_354,2022-04-17,14,,2022-04-03,15.29770951
ca_354,2022-04-18,27,,2022-04-04,16.16683984
ca_354,2022-04-19,26,,2022-04-05,17.10860665
ca_354,2022-04-20,29,,2022-04-06,18.1272397
ca_354,2022-04-21,26,,2022-04-07,19.25493894
ca_354,2022-04-22,33,,2022-04-08,20.53949396
ca_354,2022-04-23,26,,2022-04-09,22.01897471
ca_354,2022-04-24,33,,2022-04-10,23.7060236
ca_354,2022-04-25,55,,2022-04-11,25.5781038
ca_354,2022-04-26,38,,2022-04-12,27.57336555
ca_354,2022-04-27,70,,2022-04-13,29.60218466
ca_354,2022-04-28,42,,2022-04-14,31.56830806
ca_354,2022-04-29,45,,2022-04-15,33.40576485
ca_354,2022-04-30,46,,2022-04-16,35.13674053
ca_354,2022-05-01,45,,2022-04-17,36.85277304
ca_354,2022-05-02,70,,2022-04-18,38.55911093
ca_354,2022-05-03,75,,2022-04-19,40.26382309
ca_354,2022-05-04,57,,2022-04-20,41.98495839
ca_354,2022-05-05,39,,2022-04-21,43.73957294
ca_354,2022-05-06,65,,2022-04-22,45.53656748
ca_354,2022-05-07,30,,2022-04-23,47.37160411
ca_354,2022-05-08,38,,2022-04-24,49.22976202
ca_354,2022-05-09,71,,2022-04-25,51.09147164
ca_354,2022-05-10,86,,2022-04-26,52.94044291
ca_354,2022-05-11,70,,2022-04-27,54.7755059
ca_354,2022-05-12,72,,2022-04-28,56.65522853
ca_354,2022-05-13,62,,2022-04-29,58.7110854
ca_354,2022-05-14,59,,2022-04-30,60.96182981
ca_354,2022-05-15,70,,2022-05-01,63.33753209
ca_354,2022-05-16,107,,2022-05-02,65.73472584
ca_354,2022-05-17,93,,2022-05-03,68.05287446
ca_354,2022-05-18,87,,2022-05-04,70.21922915
ca_354,2022-05-19,102,,2022-05-05,72.19746569
ca_354,2022-05-20,96,,2022-05-06,73.98270176
ca_354,2022-05-21,52,,2022-05-07,75.59669351
ca_354,2022-05-22,79,,2022-05-08,77.08144186
ca_354,2022-05-23,101,,2022-05-09,78.51955819
ca_354,2022-05-24,100,,2022-05-10,80.02896907
ca_354,2022-05-25,110,,2022-05-11,81.58412236
