,date,cc_data,,dates,I
co_116,2020-12-18,20,,2020-10-26,211.9337741
co_116,2020-12-19,21,,2020-10-27,203.1531245
co_116,2020-12-20,38,,2020-10-28,194.4547407
co_116,2020-12-21,39,,2020-10-29,186.199606
co_116,2020-12-22,31,,2020-10-30,178.2400915
co_116,2020-12-23,62,,2020-10-31,169.705797
co_116,2020-12-24,42,,2020-11-01,159.2943044
co_116,2020-12-25,48,,2020-11-02,146.664741
co_116,2020-12-26,41,,2020-11-03,132.3084552
co_116,2020-12-27,34,,2020-11-04,117.1212437
co_116,2020-12-28,38,,2020-11-05,102.1044638
co_116,2020-12-29,190,,2020-11-06,88.1733919
co_116,2020-12-30,647,,2020-11-07,76.01473537
co_116,2020-12-31,514,,2020-11-08,66.0466496
co_116,2021-01-01,130,,2020-11-09,58.4091487
co_116,2021-01-02,102,,2020-11-10,52.93864392
co_116,2021-01-03,125,,2020-11-11,49.1370238
co_116,2021-01-04,92,,2020-11-12,46.43757169
co_116,2021-01-05,123,,2020-11-13,45.33759024
co_116,2021-01-06,98,,2020-11-14,46.39973743
co_116,2021-01-07,136,,2020-11-15,49.82651842
co_116,2021-01-08,183,,2020-11-16,55.50092822
co_116,2021-01-09,100,,2020-11-17,63.01674606
co_116,2021-01-10,80,,2020-11-18,71.69142863
co_116,2021-01-11,82,,2020-11-19,80.59868711
co_116,2021-01-12,90,,2020-11-20,88.70536039
co_116,2021-01-13,67,,2020-11-21,95.07998704
co_116,2021-01-14,88,,2020-11-22,99.20632202
co_116,2021-01-15,82,,2020-11-23,101.4171567
co_116,2021-01-16,40,,2020-11-24,102.9444927
co_116,2021-01-17,33,,2020-11-25,104.1829135
co_116,2021-01-18,68,,2020-11-26,105.0941205
co_116,2021-01-19,62,,2020-11-27,105.5060494
co_116,2021-01-20,70,,2020-11-28,105.2218095
co_116,2021-01-21,62,,2020-11-29,104.1064359
co_116,2021-01-22,68,,2020-11-30,102.1436029
co_116,2021-01-23,38,,2020-12-01,99.47119609
co_116,2021-01-24,52,,2020-12-02,96.37018076
co_116,2021-01-25,50,,2020-12-03,93.20108031
co_116,2021-01-26,58,,2020-12-04,90.30595409
co_116,2021-01-27,58,,2020-12-05,87.85933576
co_116,2021-01-28,74,,2020-12-06,85.67332668
co_116,2021-01-29,36,,2020-12-07,83.3738599
co_116,2021-01-30,55,,2020-12-08,80.68221494
co_116,2021-01-31,38,,2020-12-09,77.52948866
co_116,2021-02-01,44,,2020-12-10,74.02260265
co_116,2021-02-02,45,,2020-12-11,70.35352961
co_116,2021-02-03,38,,2020-12-12,66.73549537
co_116,2021-02-04,63,,2020-12-13,63.36242781
