,date,cc_data
ut_17,2021-08-04,33
ut_17,2021-10-07,33
ut_17,2021-12-10,33
ut_17,2022-02-06,33
ut_17,2022-06-20,33
ut_17,2022-07-07,33
ut_17,2021-01-24,34
ut_17,2021-02-02,34
ut_17,2021-08-25,34
ut_17,2022-02-14,34
ut_17,2022-06-28,34
ut_17,2022-07-26,34
ut_17,2021-01-23,35
ut_17,2021-01-31,35
ut_17,2021-07-27,35
ut_17,2021-08-02,35
ut_17,2021-09-25,35
ut_17,2021-10-13,35
ut_17,2022-02-10,35
ut_17,2022-06-01,35
ut_17,2022-07-13,35
ut_17,2021-02-22,36
ut_17,2021-08-10,36
ut_17,2021-09-03,36
ut_17,2021-09-17,36
ut_17,2021-10-22,36
ut_17,2022-06-07,36
ut_17,2020-11-28,37
ut_17,2021-08-05,37
ut_17,2021-09-24,37
ut_17,2021-10-12,37
ut_17,2022-06-22,37
ut_17,2022-06-24,37
ut_17,2022-06-30,37
ut_17,2021-09-04,38
ut_17,2021-09-11,38
ut_17,2021-12-22,38
ut_17,2022-06-03,38
ut_17,2022-06-06,38
ut_17,2022-07-14,38
ut_17,2022-07-18,38
ut_17,2021-02-04,39
ut_17,2021-08-06,39
ut_17,2021-08-11,39
ut_17,2021-09-22,39
ut_17,2021-10-01,39
ut_17,2021-10-06,39
ut_17,2021-11-28,39
ut_17,2022-07-01,39
ut_17,2021-01-17,40
ut_17,2021-07-26,40
ut_17,2021-08-19,40
ut_17,2021-12-11,40
ut_17,2022-02-11,40
ut_17,2022-06-29,40
ut_17,2021-10-15,41
ut_17,2021-11-14,41
ut_17,2021-12-21,41
ut_17,2022-02-05,41
ut_17,2021-01-28,42
ut_17,2021-09-10,42
ut_17,2021-09-30,42
ut_17,2022-06-27,42
ut_17,2020-11-27,43
ut_17,2021-02-01,43
ut_17,2021-02-16,43
ut_17,2021-08-23,43
ut_17,2021-08-26,43
ut_17,2021-10-20,43
ut_17,2021-12-04,43
ut_17,2021-12-24,43
ut_17,2022-07-11,43
ut_17,2020-12-25,44
ut_17,2021-08-16,44
ut_17,2021-08-27,44
ut_17,2021-09-16,44
ut_17,2021-11-06,44
ut_17,2021-12-20,44
ut_17,2021-02-12,45
ut_17,2021-02-05,46
ut_17,2021-02-11,46
ut_17,2021-07-20,46
ut_17,2021-08-24,46
ut_17,2021-09-28,46
ut_17,2021-11-19,46
ut_17,2021-12-03,46
