,date,cc_data,,dates,I
oh_102,20/08/2021,11,,07/07/2021,
oh_102,21/08/2021,8,,08/07/2021,
oh_102,22/08/2021,9,,09/07/2021,
oh_102,23/08/2021,37,,10/07/2021,
oh_102,24/08/2021,13,,11/07/2021,
oh_102,25/08/2021,9,,12/07/2021,
oh_102,26/08/2021,11,,13/07/2021,
oh_102,27/08/2021,11,,14/07/2021,
oh_102,28/08/2021,5,,15/07/2021,
oh_102,29/08/2021,5,,16/07/2021,
oh_102,30/08/2021,9,,17/07/2021,
oh_102,31/08/2021,10,,18/07/2021,
oh_102,01/09/2021,195,,19/07/2021,
oh_102,02/09/2021,15,,20/07/2021,
oh_102,03/09/2021,13,,21/07/2021,
oh_102,04/09/2021,9,,22/07/2021,
oh_102,05/09/2021,0,,23/07/2021,
oh_102,06/09/2021,8,,24/07/2021,
oh_102,07/09/2021,13,,25/07/2021,
oh_102,08/09/2021,8,,26/07/2021,
oh_102,09/09/2021,7,,27/07/2021,
oh_102,10/09/2021,6,,28/07/2021,
oh_102,11/09/2021,7,,29/07/2021,
oh_102,12/09/2021,0,,30/07/2021,
oh_102,13/09/2021,14,,31/07/2021,
oh_102,14/09/2021,128,,01/08/2021,
oh_102,15/09/2021,16,,02/08/2021,
oh_102,16/09/2021,0,,03/08/2021,
oh_102,17/09/2021,11,,04/08/2021,
oh_102,18/09/2021,8,,05/08/2021,
oh_102,19/09/2021,10,,06/08/2021,
oh_102,20/09/2021,144,,07/08/2021,
oh_102,21/09/2021,14,,08/08/2021,
oh_102,22/09/2021,12,,09/08/2021,
oh_102,23/09/2021,18,,10/08/2021,
oh_102,24/09/2021,18,,11/08/2021,
oh_102,25/09/2021,15,,12/08/2021,
oh_102,26/09/2021,0,,13/08/2021,
oh_102,27/09/2021,184,,14/08/2021,
oh_102,28/09/2021,13,,15/08/2021,
oh_102,29/09/2021,16,,16/08/2021,
oh_102,30/09/2021,12,,17/08/2021,
oh_102,01/10/2021,9,,18/08/2021,
oh_102,02/10/2021,11,,19/08/2021,
oh_102,03/10/2021,12,,20/08/2021,
oh_102,04/10/2021,16,,21/08/2021,
oh_102,05/10/2021,16,,22/08/2021,
oh_102,06/10/2021,237,,23/08/2021,
oh_102,07/10/2021,7,,24/08/2021,
oh_102,08/10/2021,8,,25/08/2021,
oh_102,09/10/2021,14,,26/08/2021,
oh_102,10/10/2021,10,,27/08/2021,
oh_102,11/10/2021,11,,28/08/2021,
oh_102,12/10/2021,8,,29/08/2021,
oh_102,13/10/2021,16,,30/08/2021,
oh_102,14/10/2021,5,,31/08/2021,
oh_102,15/10/2021,6,,01/09/2021,
oh_102,16/10/2021,7,,02/09/2021,
oh_102,17/10/2021,7,,03/09/2021,
oh_102,18/10/2021,11,,04/09/2021,
oh_102,19/10/2021,14,,05/09/2021,
oh_102,20/10/2021,14,,06/09/2021,
oh_102,21/10/2021,175,,07/09/2021,
oh_102,22/10/2021,12,,08/09/2021,
oh_102,23/10/2021,10,,09/09/2021,
oh_102,24/10/2021,6,,10/09/2021,
oh_102,25/10/2021,6,,11/09/2021,
oh_102,26/10/2021,6,,12/09/2021,
oh_102,27/10/2021,5,,13/09/2021,
oh_102,28/10/2021,5,,14/09/2021,
oh_102,29/10/2021,13,,15/09/2021,
oh_102,30/10/2021,0,,16/09/2021,
oh_102,31/10/2021,0,,17/09/2021,
oh_102,01/11/2021,10,,18/09/2021,
oh_102,02/11/2021,9,,19/09/2021,
oh_102,03/11/2021,9,,20/09/2021,
oh_102,04/11/2021,5,,21/09/2021,
oh_102,05/11/2021,9,,22/09/2021,
oh_102,06/11/2021,0,,23/09/2021,
oh_102,07/11/2021,5,,24/09/2021,
oh_102,08/11/2021,9,,25/09/2021,
oh_102,09/11/2021,100,,26/09/2021,
oh_102,10/11/2021,12,,27/09/2021,
oh_102,11/11/2021,13,,28/09/2021,
oh_102,12/11/2021,9,,29/09/2021,
oh_102,13/11/2021,0,,30/09/2021,
oh_102,14/11/2021,13,,01/10/2021,
oh_102,15/11/2021,14,,02/10/2021,
oh_102,16/11/2021,54,,03/10/2021,
oh_102,17/11/2021,10,,04/10/2021,
oh_102,18/11/2021,8,,05/10/2021,
oh_102,19/11/2021,9,,06/10/2021,
oh_102,20/11/2021,5,,07/10/2021,
oh_102,21/11/2021,7,,08/10/2021,
oh_102,22/11/2021,39,,09/10/2021,
oh_102,23/11/2021,0,,10/10/2021,
oh_102,24/11/2021,8,,11/10/2021,
oh_102,25/11/2021,14,,12/10/2021,
oh_102,26/11/2021,13,,13/10/2021,
oh_102,27/11/2021,14,,14/10/2021,
oh_102,28/11/2021,11,,15/10/2021,
oh_102,29/11/2021,19,,16/10/2021,
oh_102,30/11/2021,137,,17/10/2021,
oh_102,01/12/2021,14,,18/10/2021,
oh_102,02/12/2021,19,,19/10/2021,
oh_102,03/12/2021,17,,20/10/2021,
oh_102,04/12/2021,15,,21/10/2021,
oh_102,05/12/2021,9,,22/10/2021,
oh_102,06/12/2021,17,,23/10/2021,
oh_102,07/12/2021,17,,24/10/2021,
oh_102,08/12/2021,19,,25/10/2021,
oh_102,09/12/2021,9,,26/10/2021,
oh_102,10/12/2021,16,,27/10/2021,
oh_102,11/12/2021,15,,28/10/2021,
oh_102,12/12/2021,9,,29/10/2021,
oh_102,13/12/2021,15,,30/10/2021,
oh_102,14/12/2021,115,,31/10/2021,
oh_102,15/12/2021,12,,01/11/2021,
oh_102,16/12/2021,7,,02/11/2021,
oh_102,17/12/2021,19,,03/11/2021,
oh_102,18/12/2021,15,,04/11/2021,
oh_102,19/12/2021,10,,05/11/2021,
oh_102,20/12/2021,8,,06/11/2021,
oh_102,21/12/2021,143,,07/11/2021,
oh_102,22/12/2021,19,,08/11/2021,
oh_102,23/12/2021,16,,09/11/2021,
oh_102,24/12/2021,14,,10/11/2021,
oh_102,25/12/2021,13,,11/11/2021,
oh_102,26/12/2021,22,,12/11/2021,
oh_102,27/12/2021,108,,13/11/2021,
oh_102,28/12/2021,11,,14/11/2021,
oh_102,29/12/2021,17,,15/11/2021,
oh_102,30/12/2021,13,,16/11/2021,
oh_102,31/12/2021,19,,17/11/2021,
oh_102,01/01/2022,30,,18/11/2021,
oh_102,02/01/2022,17,,19/11/2021,
oh_102,03/01/2022,44,,20/11/2021,
oh_102,04/01/2022,113,,21/11/2021,
oh_102,05/01/2022,26,,22/11/2021,
oh_102,06/01/2022,9,,23/11/2021,
oh_102,07/01/2022,14,,24/11/2021,
oh_102,08/01/2022,12,,25/11/2021,
oh_102,09/01/2022,14,,26/11/2021,
oh_102,10/01/2022,18,,27/11/2021,
oh_102,11/01/2022,17,,28/11/2021,
oh_102,12/01/2022,318,,29/11/2021,
oh_102,13/01/2022,12,,30/11/2021,
oh_102,14/01/2022,22,,01/12/2021,
oh_102,15/01/2022,36,,02/12/2021,
oh_102,16/01/2022,17,,03/12/2021,
oh_102,17/01/2022,35,,04/12/2021,
oh_102,18/01/2022,46,,05/12/2021,
oh_102,19/01/2022,39,,06/12/2021,
oh_102,20/01/2022,722,,07/12/2021,
oh_102,21/01/2022,28,,08/12/2021,
oh_102,22/01/2022,20,,09/12/2021,
oh_102,23/01/2022,18,,10/12/2021,
oh_102,24/01/2022,30,,11/12/2021,
oh_102,25/01/2022,485,,12/12/2021,
oh_102,26/01/2022,32,,13/12/2021,
oh_102,27/01/2022,12,,14/12/2021,
oh_102,28/01/2022,19,,15/12/2021,
oh_102,29/01/2022,12,,16/12/2021,
oh_102,30/01/2022,14,,17/12/2021,
oh_102,31/01/2022,12,,18/12/2021,
oh_102,01/02/2022,205,,19/12/2021,
oh_102,02/02/2022,6,,20/12/2021,
oh_102,03/02/2022,0,,21/12/2021,
oh_102,04/02/2022,5,,22/12/2021,
oh_102,05/02/2022,0,,23/12/2021,
oh_102,06/02/2022,7,,24/12/2021,
oh_102,07/02/2022,10,,25/12/2021,
oh_102,08/02/2022,5,,26/12/2021,
oh_102,09/02/2022,5,,27/12/2021,
oh_102,10/02/2022,7,,28/12/2021,
oh_102,11/02/2022,6,,29/12/2021,
oh_102,12/02/2022,9,,30/12/2021,
oh_102,13/02/2022,5,,31/12/2021,
oh_102,14/02/2022,9,,01/01/2022,
oh_102,15/02/2022,78,,02/01/2022,
oh_102,16/02/2022,0,,03/01/2022,
oh_102,17/02/2022,0,,04/01/2022,
oh_102,18/02/2022,0,,05/01/2022,
oh_102,19/02/2022,6,,06/01/2022,
oh_102,20/02/2022,0,,07/01/2022,
oh_102,21/02/2022,10,,08/01/2022,
oh_102,22/02/2022,55,,09/01/2022,
oh_102,23/02/2022,176,,10/01/2022,
oh_102,24/02/2022,0,,11/01/2022,
oh_102,25/02/2022,0,,12/01/2022,
oh_102,26/02/2022,6,,13/01/2022,
oh_102,27/02/2022,0,,14/01/2022,
oh_102,28/02/2022,7,,15/01/2022,
oh_102,01/03/2022,58,,16/01/2022,
oh_102,02/03/2022,0,,17/01/2022,
oh_102,03/03/2022,0,,18/01/2022,
oh_102,04/03/2022,0,,19/01/2022,
oh_102,07/03/2022,0,,20/01/2022,
oh_102,08/03/2022,0,,21/01/2022,
oh_102,09/03/2022,0,,22/01/2022,
oh_102,10/03/2022,0,,23/01/2022,
oh_102,11/03/2022,0,,24/01/2022,
oh_102,12/03/2022,0,,25/01/2022,
oh_102,14/03/2022,5,,26/01/2022,
oh_102,15/03/2022,0,,27/01/2022,
oh_102,16/03/2022,0,,28/01/2022,
oh_102,17/03/2022,0,,29/01/2022,
oh_102,20/03/2022,0,,30/01/2022,
oh_102,21/03/2022,0,,31/01/2022,
oh_102,22/03/2022,5,,01/02/2022,
oh_102,23/03/2022,0,,02/02/2022,
oh_102,24/03/2022,0,,03/02/2022,
oh_102,25/03/2022,0,,04/02/2022,
oh_102,26/03/2022,0,,05/02/2022,
oh_102,29/03/2022,0,,06/02/2022,
oh_102,31/03/2022,0,,07/02/2022,
oh_102,03/04/2022,0,,08/02/2022,
oh_102,05/04/2022,0,,09/02/2022,
oh_102,06/04/2022,0,,10/02/2022,
oh_102,11/04/2022,0,,11/02/2022,
oh_102,12/04/2022,0,,12/02/2022,
oh_102,13/04/2022,0,,13/02/2022,
oh_102,14/04/2022,0,,14/02/2022,
oh_102,15/04/2022,0,,15/02/2022,
oh_102,16/04/2022,0,,16/02/2022,
oh_102,18/04/2022,5,,17/02/2022,
oh_102,19/04/2022,0,,18/02/2022,
oh_102,20/04/2022,0,,19/02/2022,
oh_102,21/04/2022,7,,20/02/2022,
oh_102,22/04/2022,0,,21/02/2022,
oh_102,23/04/2022,0,,22/02/2022,
oh_102,24/04/2022,0,,23/02/2022,
oh_102,25/04/2022,0,,24/02/2022,
oh_102,26/04/2022,6,,25/02/2022,
oh_102,27/04/2022,0,,26/02/2022,
oh_102,28/04/2022,5,,27/02/2022,
oh_102,29/04/2022,0,,28/02/2022,
oh_102,30/04/2022,0,,01/03/2022,
oh_102,01/05/2022,0,,02/03/2022,
oh_102,02/05/2022,8,,03/03/2022,
oh_102,03/05/2022,7,,04/03/2022,
oh_102,04/05/2022,0,,05/03/2022,
oh_102,05/05/2022,7,,06/03/2022,
oh_102,06/05/2022,0,,07/03/2022,
oh_102,07/05/2022,0,,08/03/2022,
oh_102,08/05/2022,5,,09/03/2022,
oh_102,09/05/2022,11,,10/03/2022,
oh_102,10/05/2022,5,,11/03/2022,
oh_102,11/05/2022,7,,12/03/2022,
oh_102,12/05/2022,8,,13/03/2022,
oh_102,13/05/2022,9,,14/03/2022,
oh_102,14/05/2022,0,,15/03/2022,
oh_102,15/05/2022,0,,16/03/2022,
oh_102,16/05/2022,18,,17/03/2022,
oh_102,17/05/2022,0,,18/03/2022,
oh_102,18/05/2022,8,,19/03/2022,
oh_102,19/05/2022,8,,20/03/2022,
oh_102,20/05/2022,6,,21/03/2022,
oh_102,21/05/2022,0,,22/03/2022,
oh_102,22/05/2022,9,,23/03/2022,
oh_102,23/05/2022,15,,24/03/2022,
oh_102,24/05/2022,6,,25/03/2022,
oh_102,25/05/2022,0,,26/03/2022,
oh_102,26/05/2022,0,,27/03/2022,
oh_102,27/05/2022,7,,28/03/2022,
oh_102,28/05/2022,0,,29/03/2022,
oh_102,29/05/2022,0,,30/03/2022,
oh_102,30/05/2022,7,,31/03/2022,
oh_102,31/05/2022,34,,01/04/2022,
oh_102,01/06/2022,0,,02/04/2022,
oh_102,02/06/2022,0,,03/04/2022,
oh_102,04/06/2022,0,,04/04/2022,
oh_102,05/06/2022,0,,05/04/2022,
oh_102,06/06/2022,5,,06/04/2022,
oh_102,07/06/2022,56,,07/04/2022,
oh_102,08/06/2022,0,,08/04/2022,
oh_102,09/06/2022,5,,09/04/2022,
oh_102,10/06/2022,0,,10/04/2022,
oh_102,11/06/2022,0,,11/04/2022,
oh_102,12/06/2022,0,,12/04/2022,
oh_102,13/06/2022,7,,13/04/2022,
oh_102,14/06/2022,13,,14/04/2022,
oh_102,15/06/2022,7,,15/04/2022,
oh_102,16/06/2022,0,,16/04/2022,
oh_102,17/06/2022,0,,17/04/2022,
oh_102,18/06/2022,0,,18/04/2022,
oh_102,19/06/2022,0,,19/04/2022,
oh_102,20/06/2022,0,,20/04/2022,
oh_102,21/06/2022,30,,21/04/2022,
oh_102,22/06/2022,0,,22/04/2022,
oh_102,23/06/2022,0,,23/04/2022,
oh_102,24/06/2022,0,,24/04/2022,
oh_102,25/06/2022,0,,25/04/2022,
oh_102,26/06/2022,0,,26/04/2022,
oh_102,27/06/2022,19,,27/04/2022,
oh_102,28/06/2022,0,,28/04/2022,
oh_102,30/06/2022,0,,29/04/2022,
oh_102,01/07/2022,0,,30/04/2022,
oh_102,02/07/2022,0,,01/05/2022,
oh_102,03/07/2022,6,,02/05/2022,
oh_102,04/07/2022,0,,03/05/2022,
oh_102,05/07/2022,31,,04/05/2022,
oh_102,06/07/2022,5,,05/05/2022,
oh_102,07/07/2022,11,,06/05/2022,
oh_102,08/07/2022,0,,07/05/2022,
oh_102,09/07/2022,0,,08/05/2022,
oh_102,10/07/2022,0,,09/05/2022,
oh_102,11/07/2022,43,,10/05/2022,
oh_102,12/07/2022,0,,11/05/2022,
oh_102,13/07/2022,0,,12/05/2022,
oh_102,14/07/2022,0,,13/05/2022,
oh_102,17/07/2022,0,,14/05/2022,
oh_102,18/07/2022,98,,15/05/2022,
oh_102,19/07/2022,0,,16/05/2022,
oh_102,20/07/2022,0,,17/05/2022,
oh_102,21/07/2022,5,,18/05/2022,
oh_102,22/07/2022,0,,19/05/2022,
oh_102,23/07/2022,0,,20/05/2022,
oh_102,24/07/2022,0,,21/05/2022,
oh_102,25/07/2022,90,,22/05/2022,
oh_102,26/07/2022,0,,23/05/2022,
oh_102,27/07/2022,0,,24/05/2022,
oh_102,28/07/2022,0,,25/05/2022,
oh_102,29/07/2022,0,,26/05/2022,
oh_102,30/07/2022,0,,27/05/2022,
oh_102,31/07/2022,0,,28/05/2022,
oh_102,01/08/2022,102,,29/05/2022,
oh_102,02/08/2022,0,,30/05/2022,
oh_102,03/08/2022,5,,31/05/2022,
oh_102,04/08/2022,0,,01/06/2022,
oh_102,05/08/2022,0,,02/06/2022,
oh_102,06/08/2022,5,,03/06/2022,
oh_102,07/08/2022,5,,04/06/2022,
oh_102,08/08/2022,112,,05/06/2022,
oh_102,09/08/2022,6,,06/06/2022,
oh_102,10/08/2022,7,,07/06/2022,
oh_102,11/08/2022,0,,08/06/2022,
