dates,I,deaths_by_pop
UID,84036047,
iso2,US,
iso3,USA,
code3,840,
FIPS,36047.0,
Admin2,Kings,
Province_State,New York,
Country_Region,US,
Lat,40.6361825,
Long_,-73.94935552,
Combined_Key,"Kings, New York, US",
Population,2559903,
2020-08-15,7258,283.52636799128715
2020-08-16,7259,283.5654319714458
2020-08-17,7261,283.64355993176304
2020-08-18,7262,283.68262391192167
2020-08-19,7263,283.7216878920803
2020-08-20,7266,283.83887983255613
2020-08-21,7266,283.83887983255613
2020-08-22,7268,283.9170077928734
2020-08-23,7269,283.956071773032
2020-08-24,7270,283.99513575319065
2020-08-25,7270,283.99513575319065
2020-08-26,7271,284.0341997333493
2020-08-27,7272,284.0732637135079
2020-08-28,7273,284.11232769366654
2020-08-29,7274,284.1513916738251
2020-08-30,7276,284.2295196341424
2020-08-31,7290,284.7764153563631
2020-09-01,7290,284.7764153563631
2020-09-02,7290,284.7764153563631
2020-09-03,7289,284.7373513762045
2020-09-04,7290,284.7764153563631
2020-09-05,7293,284.893607296839
2020-09-06,7293,284.893607296839
2020-09-07,7297,285.0498632174735
2020-09-08,7298,285.0889271976321
2020-09-09,7298,285.0889271976321
2020-09-10,7299,285.1279911777907
2020-09-11,7299,285.1279911777907
2020-09-12,7306,285.40143903890106
2020-09-13,7306,285.40143903890106
2020-09-14,7306,285.40143903890106
2020-09-15,7309,285.51863097937695
2020-09-16,7311,285.5967589396942
2020-09-17,7312,285.63582291985284
2020-09-18,7314,285.71395088017005
2020-09-19,7315,285.7530148603287
2020-09-20,7318,285.87020680080457
2020-09-21,7318,285.87020680080457
2020-09-22,7319,285.9092707809632
2020-09-23,7319,285.9092707809632
2020-09-24,7321,285.98739874128046
2020-09-25,7323,286.06552670159766
2020-09-26,7323,286.06552670159766
2020-09-27,7326,286.18271864207355
2020-09-28,7327,286.2217826222322
2020-09-29,7329,286.29991058254944
2020-09-30,7330,286.338974562708
2020-10-01,7329,286.29991058254944
2020-10-02,7337,286.61242242381843
2020-10-03,7338,286.651486403977
2020-10-04,7339,286.69055038413563
2020-10-05,7340,286.72961436429426
2020-10-06,7342,286.8077423246115
2020-10-07,7345,286.9249342650874
2020-10-08,7346,286.963998245246
2020-10-09,7347,287.0030622254046
2020-10-10,7350,287.1202541658805
2020-10-11,7352,287.19838212619777
2020-10-12,7353,287.2374461063564
2020-10-13,7355,287.3155740666736
2020-10-14,7356,287.35463804683224
2020-10-15,7361,287.5499579476254
2020-10-16,7365,287.70621386825985
2020-10-17,7366,287.7452778484185
2020-10-18,7370,287.90153376905295
2020-10-19,7372,287.9796617293702
2020-10-20,7373,288.01872570952884
2020-10-21,7374,288.05778968968747
2020-10-22,7376,288.1359176500047
2020-10-23,7381,288.3312375507978
2020-10-24,7382,288.37030153095645
2020-10-25,7383,288.4093655111151
2020-10-26,7385,288.4874934714323
2020-10-27,7387,288.56562143174955
2020-10-28,7390,288.68281337222544
2020-10-29,7393,288.8000053127013
2020-10-30,7400,289.0734531738117
2020-10-31,7400,289.0734531738117
2020-11-01,7404,289.22970909444615
2020-11-02,7406,289.3078370547634
2020-11-03,7409,289.42502899523924
2020-11-04,7414,289.6203488960324
2020-11-05,7417,289.73754083650823
2020-11-06,7425,290.0500526777772
2020-11-07,7429,290.20630859841174
2020-11-08,7434,290.40162849920483
2020-11-09,7436,290.4797564595221
2020-11-10,7440,290.6360123801566
2020-11-11,7441,290.6750763603152
2020-11-12,7443,290.75320432063245
2020-11-13,7445,290.8313322809497
2020-11-14,7450,291.0266521817428
2020-11-15,7452,291.10478014206006
2020-11-16,7453,291.1438441222187
2020-11-17,7455,291.22197208253596
2020-11-18,7457,291.30010004285316
2020-11-19,7465,291.61261188412215
2020-11-20,7472,291.88605974523256
2020-11-21,7478,292.1204436261843
2020-11-22,7481,292.2376355666601
2020-11-23,7485,292.39389148729464
2020-11-24,7489,292.5501474079291
2020-11-25,7493,292.7064033285636
2020-11-26,7495,292.7845312888809
2020-11-27,7498,292.9017232293567
2020-11-28,7502,293.05797914999124
2020-11-29,7505,293.1751710904671
2020-11-30,7507,293.25329905078434
2020-12-01,7509,293.3314270111016
2020-12-02,7510,293.3704909912602
2020-12-03,7512,293.4486189515775
2020-12-04,7519,293.72206681268784
2020-12-05,7526,293.9955146737982
2020-12-06,7529,294.11270661427403
2020-12-07,7531,294.1908345745913
2020-12-08,7536,294.38615447538444
2020-12-09,7540,294.5424103960189
2020-12-10,7542,294.62053835633617
2020-12-11,7549,294.8939862174465
